epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,95.5238,0.42161,0.58142,0.83368,0.99378,1,0.995,0.94989,0.33794,0.3577,0.76433,0.0005842,0.0005842,0.0005842
44,97.7155,0.41548,0.55874,0.82024,0.99442,1,0.995,0.93997,0.3504,0.35526,0.76176,0.0005743,0.0005743,0.0005743
45,99.8739,0.44042,0.5731,0.84938,0.99454,1,0.995,0.95175,0.33138,0.34797,0.75779,0.0005644,0.0005644,0.0005644
46,102.047,0.44578,0.59474,0.84074,0.99514,0.9951,0.995,0.9526,0.33837,0.34655,0.75918,0.0005545,0.0005545,0.0005545
47,104.275,0.43165,0.55097,0.82513,0.99513,1,0.995,0.95406,0.3251,0.34474,0.75482,0.0005446,0.0005446,0.0005446
48,106.452,0.43454,0.55185,0.83125,0.99418,1,0.995,0.94157,0.33829,0.3459,0.76421,0.0005347,0.0005347,0.0005347
49,108.598,0.40242,0.53503,0.82776,0.99561,0.99983,0.995,0.93422,0.34215,0.35917,0.76612,0.0005248,0.0005248,0.0005248
50,110.745,0.41125,0.52089,0.82238,0.99301,0.99861,0.995,0.95861,0.33124,0.32976,0.76066,0.0005149,0.0005149,0.0005149
51,112.936,0.40344,0.50962,0.82172,0.99377,1,0.995,0.95024,0.33,0.32501,0.75495,0.000505,0.000505,0.000505
52,115.108,0.42221,0.50872,0.8315,0.99036,1,0.995,0.94648,0.32684,0.33085,0.76402,0.0004951,0.0004951,0.0004951
53,117.334,0.41131,0.52762,0.83431,0.99545,1,0.995,0.95276,0.31872,0.32809,0.76406,0.0004852,0.0004852,0.0004852
54,119.516,0.39679,0.5025,0.82143,0.99513,0.99872,0.995,0.95607,0.30776,0.31257,0.75734,0.0004753,0.0004753,0.0004753
55,121.672,0.39995,0.50798,0.82724,0.99714,1,0.995,0.95491,0.31135,0.34342,0.75896,0.0004654,0.0004654,0.0004654
56,123.838,0.39847,0.50934,0.81895,0.99587,1,0.995,0.95925,0.30476,0.3132,0.75552,0.0004555,0.0004555,0.0004555
57,126.005,0.37029,0.48065,0.83242,0.99525,1,0.995,0.96258,0.30894,0.31434,0.75709,0.0004456,0.0004456,0.0004456
